id,sentence,target
0,"it 's a tour de force , written and directed so quietly that it 's implosion rather than explosion you fear",+
1,"places a slightly believable love triangle in a difficult to swallow setting , and then disappointingly moves the story into the realm of an improbable thriller",-
2,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough",+
3,exactly what you 'd expect from a guy named kaos,-
4,"unfortunately , it appears that jackie chan 's us influence is starting to show in his hong kong films",+
5,"eastwood winces , clutches his chest and gasps for breath it 's a spectacular performance ahem , we hope it 's only acting",-
6,a not so divine secrets of the ya ya sisterhood with a hefty helping of re fried green tomatoes,-
7,stage director sam mendes showcases tom hanks as a depression era hit man in this dark tale of revenge,+
8,it 's not difficult to spot the culprit early on in this predictable thriller,-
9,the minor figures surrounding bobby form a gritty urban mosaic,+
10,cool ? this movie is a snow emergency,+
11,extremely bad,-
12,"while obviously an extremely personal work , it remains inextricably stuck in an emotionally unavailable rut",-
13,every sequel you skip will be two hours gained consider this review life affirming,-
14,"these three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people",+
15,viewers of barney 's crushingly self indulgent spectacle will see nothing in it to match the ordeal of sitting through it,-
16,"each punch seen through prison bars , the fights become not so much a struggle of man vs man as brother man vs the man",+
17,i admired this work a lot,+
18,"expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women",+
19,the sinister inspiration that fuelled devito 's early work is confused in death to smoochy into something both ugly and mindless,-
20,"it 's somewhat clumsy and too lethargically paced but its story about a mysterious creature with psychic abilities offers a solid build up , a terrific climax , and some nice chills along the way",+
21,"it 's better than the phantom menace but unless you 're an absolute raving star wars junkie , it is n't much fun",-
22,one of herzog 's least inspired works,+
23,"an unimaginative , nasty , glibly cynical piece of work",-
24,"the most remarkable ( and frustrating ) thing about world traveler , which opens today in manhattan , is that its protagonist , after being an object of intense scrutiny for 104 minutes , remains a complete blank",-
25,"though catch me if you can is n't badly made , the fun slowly leaks out of the movie",-
26,beautifully produced,+
27,"it 's not without its pleasures , but i 'll stick with the tune",-
28,"my big fat greek wedding is not only the best date movie of the year , it 's also a dare i say it twice delightfully charming and totally american , i might add slice of comedic bliss",+
29,it 's refreshing to see a romance this smart,+
30,"even if you ca n't pronounce gyro correctly , you 'll appreciate much of vardalos ' humor , which transcends ethnic boundaries",+
31,you wonder why enough was n't just a music video rather than a full length movie,-
32,"though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves",+
33,a science fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left,-
34,"austin powers for the most part is extremely funny , the first part making up for any flaws that come later",+
35,by turns numbingly dull witted and disquietingly creepy,-
36,` sophisticated ' viewers who refuse to admit that they do n't like it will likely call it ` challenging ' to their fellow sophisticates,-
37,"me no lika da accents so good , but i thoroughly enjoyed the love story scott baio is turning in some delightful work on indie projects",+
38,"makes s m seem very romantic , and maggie gyllenhaal is a delight",+
39,"a bland , pretentious mess",-
40,"the final result makes for adequate entertainment , i suppose , but anyone who has seen chicago on stage will leave the theater feeling they 've watched nothing but a pale imitation of the real deal",-
41,"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion the big loser is the audience",-
42,"the entire movie is about a boring , sad man being boring and sad",-
43,"trouble every day is a success in some sense , but it 's hard to like a film so cold and dead",-
44,this is a heartfelt story it just is n't a very involving one,-
45,"some episodes work , some do n't",-
46,"the director , with his fake backdrops and stately pacing , never settles on a consistent tone",-
47,"the stupidest , most insulting movie of 2002 's first quarter",-
48,a fanciful drama about napoleon 's last years and his surprising discovery of love and humility,+
49,"it 's pretty linear and only makeup deep , but bogdanovich ties it together with efficiency and an affection for the period",+
50,"as antonia is assimilated into this newfangled community , the film settles in and becomes compulsively watchable in a guilty pleasure , daytime drama sort of fashion",+
51,"fresh and raw like a blown out vein , narc takes a walking dead , cop flick subgenre and beats new life into it",+
52,"it 's a lovely , eerie film that casts an odd , rapt spell",+
53,"watching war photographer , you come to believe that nachtwey hates the wars he shows and empathizes with the victims he reveals",+
54,"this slow moving swedish film offers not even a hint of joy , preferring to focus on the humiliation of martin as he defecates in bed and urinates on the plants at his own birthday party",-
55,"in adobo , ethnicity is not just the spice , but at the heart of more universal concerns",+
56,able to provide insight into a fascinating part of theater history,+
57,"muddled , simplistic and more than a little pretentious",-
58,"this series should have died long ago , but they keep bringing it back another day as punishment for paying money to see the last james bond movie",-
59,"sheridan had a wonderful account to work from , but , curiously , he waters it down , turning grit and vulnerability into light reading",-
